Name,Region Name,District Name,District Category,District Capital
Eric Kwaku Kusi,ASHANTI,Adansi North District,District,Fomena
Francis Kwabena Ankomah,ASHANTI,Adansi South District,District,New  Edubiase
Christian Adu Poku,ASHANTI,Afigya Kwabre South District,District,Kodie
Matina Appiah-Nyantakyi,ASHANTI,Ahafo Ano North Municipal,Municipal,Tepa
Joseph Bonsu Frimpong,ASHANTI,Ahafo Ano South West District,District,Mankranso
Michael Donkor,ASHANTI,Amansie Central District,District,Jacobu
Robert Kwakye,ASHANTI,Asante Akim Central Municipal,Municipal,Konongo
Francis Oti Boateng,ASHANTI,Asante Akim North Municipal,District,Agogo
Alexander Frimpong,ASHANTI,Asante Akim South Municipal,Municipal,Juaso
Kennedy Kwasi Kankam,ASHANTI,Asokore Mampong Municipal,Municipal,Asokore Mampong
Prince Karikari,ASHANTI,Atwima Kwanwoma District,District,Twedie
Isaac Kofi Marfo,ASHANTI,Atwima Mponua District,District,Nyinahin
Michael Amoah Awuku,ASHANTI,Atwima Nwabiagya Municipal,Municipal,Nkawie
Kwaku Kyei Baffour,ASHANTI,Bekwai Municipal,Municipal,Bekwai
Yaw Danso,ASHANTI,Bosome Freho District,District,Asiwa
Joseph Akwasin Asuming,ASHANTI,Bosomtwe District,District,Kuntanse
Samuel Oduro Frimpong,ASHANTI,Ejisu Municipal,Municipal,Ejisu
Kingsley Osei,ASHANTI,Ejura Sekyedumase Municipal,Municipal,Ejura
Samuel Pyne,ASHANTI,Kumasi Metropolitan,Metropolitan,Kumasi
Opoku Agyeman Bonsu,ASHANTI,Kwabre East Municipal,Municipal,Mamponteng
Thomas Appiah Kubi,ASHANTI,Mampong Municipal ,Municipal,Mampong
Elijah Adansi-Bonah,ASHANTI,Obuasi Municipal,Municipal,Obuasi
Kingsley Owusu Appiah,ASHANTI,Offinso Municipal,Municipal,Offinso
Hamidu Sulemana,ASHANTI,Sekyere Afram Plains District,District,Drobonso
Osei Adiyiah,ASHANTI,Sekyere East District,District,Effiduase
Samuel Addai Agyekum,ASHANTI,Sekyere Kumawu District,District,Kumawu
Catherine Reckling,ASHANTI,Sekyere South District,District,Agona
Abraham Kwame Antwi,ASHANTI,Oforikrom Municipal,Municipal,Oforikrom
Richard Agyenim Boateng,ASHANTI,Kwadaso Municipal,Municipal,Kwadaso
Lord Inusah Lansah,ASHANTI,Old Tafo Municipal,Municipal,Old Tafo
Akwannuasa Gyimah,ASHANTI,Asokwa Municipal,Municipal,Asokwa
Maxwel Ofosu Boakye,ASHANTI,Suame Municipal,Municipal,Suame
Thomas Owusu Ansah,ASHANTI,Ahafo Ano South East District,District,Dwinyame/Adugyama
Clement Opoku Gyamfi ,ASHANTI,Amansie South District,District,Manso Adubia
Rebecca Yeboah,ASHANTI,Atwima Nwabiagya North District,District,Barekese
Maurice Jonas Woode,ASHANTI,Akrofuom District,District,Akrofuom
Andrew Adu Boahen,ASHANTI,Adansi Asokwa District,District,Adansi Asokwa
Faustina Amissah,ASHANTI,Obuasi East District,Municipal,Tutuka
Kwasi Karikari Achamfour,ASHANTI,Afigya Kwabre North District,District,Boamang
Yaw Osei Boahen ,AHAFO,Asunafo North Municipal,Municipal,Goaso
Frank Adusei Poku,AHAFO,Asunafo South District,District,Kukuom
Anthony Mensah,AHAFO,Asutifi North District,District,Kenyasi
Dwomoh Mensah Robert ,AHAFO,Asutifi South District,District,Hwidiem
Ernest Kwarteng ,AHAFO,Tano North Municipal,Municipal,Duayaw Nkwanta
Collins Offinam Takyi ,AHAFO,Tano South Municipal,Municipal,Bechem
Emmanuel Akone,BONO,Banda District,District,Banda Ahenkro
Kofi Adjei ,BONO,Berekum East Municipal,Municipal,Berekum
Drissah Quattara ,BONO,Dormaa Central Municipal,Municipal,Dormaa
Emmanuel  Kofi Agyemang ,BONO,Dormaa East District,District,Wemfie
Francis Kwadwo Oppong,BONO,Dormaa West District,District,Nkrankwanta
Solomon Owusu,BONO,Jaman North District,District,Sampa
Andrews Bediako,BONO,Jaman South Municipal,Municipal,Drobo
Ansu Kumi,BONO,Sunyani Municipal,Municipal,Sunyani
Evans Kusi Boadum,BONO,Sunyani West Municipal,Municipal,Odomasi
Lucy Acheampong,BONO,Tain District,District,Nsawkaw
